Hebi 1 torque	Hebi 2 torque	M3 torque
-1.38327	-0.952492	0.00492226	
-0.292157	0.0402096	0.0237178	
-0.151024	-0.0792954	-0.0147967	
-0.019814	-0.729145	0.0208591	
0.111658	-0.238578	-0.019743	
0.248091	-0.271669	0.00200487	
0.479388	-0.0135529	0.017529	
0.509494	-0.369886	-0.0290839	
0.806543	-0.0205975	0.00902679	
0.963175	-0.00279572	0.0340081	
1.01246	-0.109528	0.048978	
1.14166	-0.15328	-0.0644863	
1.181	-0.109592	-0.00332181	
1.18129	-0.124947	-0.00232936	
1.19043	-0.106761	0.000318847	
1.18492	-0.122977	0.000409516	
1.16226	-0.0734267	0.0422557	
1.15669	-0.0399753	-0.0420123	
1.16478	-0.0951231	0.0273462	
1.15744	-0.231433	-0.0417965	
1.17706	0.0903883	0.0100223	
1.07155	-0.0609218	0.0904899	
1.15953	-0.0268643	-0.0695219	
1.12168	-0.0890468	-0.00748041	
1.12658	0.00583257	0.00641942	
1.10578	-0.0280996	0.00443728	
1.10686	-0.0335463	-0.00653667	
1.11278	-0.026596	-0.0051133	
1.0923	-0.00621421	0.00160645	
1.09179	0.0105314	0.0263079	
1.07893	-0.0242035	-0.0258465	
1.08657	0.00360512	-0.00670133	
1.07474	-0.0417111	0.00222636	
1.05782	0.0653658	-0.00871528	
1.06924	-0.0423422	0.00917146	
1.05868	-0.0710589	-0.00702759	
1.07782	0.0569777	0.0056834	
1.04735	-0.00710739	-0.00321146	
1.04781	0.0235392	-0.00119981	
1.03052	0.0403374	-0.00468632	
1.03108	0.0361371	0.0368358	
1.00784	0.0291816	-0.0298315	
1.02395	0.0313676	0.00315536	
1.02306	-0.0236247	-0.00699886	
1.03398	0.0357771	0.0368591	
1.01218	0.0200542	-0.0161532	
1.02464	0.0290758	-0.00495254	
0.994953	0.0154006	-0.0123822	
0.994757	-0.00236422	0.00336759	
0.990408	0.0737904	-0.00368252	
0.984409	0.0212106	0.0184333	
0.972562	0.064512	-0.0254903	
0.959065	-0.0503174	-0.00747684	
0.973321	0.0300512	0.0039335	
0.95392	0.0382756	0.00535061	
0.949937	0.0635731	0.00218312	
0.915861	0.0841418	0.0236739	
0.920261	0.0212202	-0.0274709	
0.906803	0.0362292	-0.00355604	
0.901053	-0.0209712	-0.00744911	
0.919099	0.13212	0.0129582	
0.87256	0.0610549	-0.00392376	
0.855067	0.0460051	0.000955293	
0.845976	0.0619804	-0.00266402	
0.841046	0.0177186	-0.0161749	
0.835419	0.103754	0.0152664	
0.801383	0.0175095	-0.00440567	
0.795089	0.0750049	-0.00522806	
0.732808	0.0109891	0.00803337	
0.741568	0.0097289	-0.0510636	
0.751822	0.123279	0.0228162	
0.70777	0.0787648	-0.00407621	
0.850153	-0.868729	-0.118395	
0.693146	-0.80302	-0.135771	
0.610414	-0.806366	-0.0943491	
-1.46114	-1.09612	0.00741033	
-0.415551	-0.184024	0.0398513	
-0.371752	-0.294751	-0.0358478	
-0.374957	-1.1825	0.0416376	
-0.273747	-1.01125	0.00423775	
-0.223463	-0.720364	0.00440236	
-0.16693	-0.751687	-0.0269512	
-0.126707	-0.814949	-0.0150972	
-0.073018	-0.729973	0.0372338	
-0.00793803	-0.804029	-0.0133038	
0.0400457	-0.798547	0.0197196	
0.106378	-0.866982	0.00120794	
0.1691	-0.990227	-0.0297471	
0.204331	-0.956983	0.00878915	
0.262866	-1.03755	-0.0217784	
0.308132	-0.978428	0.0210789	
0.358643	-0.996856	0.0265451	
0.41723	-1.06981	-0.0268983	
0.461559	-1.09806	0.00090566	
0.527185	-1.08578	0.00528947	
0.585893	-1.14857	0.00480109	
0.6193	-1.11225	0.0276875	
0.642317	-1.23355	-0.035975	
0.676085	-1.22935	0.0266177	
0.714349	-1.24491	0.0211644	
0.771254	-1.30883	-0.00982489	
0.783176	-1.32302	-0.00042873	
0.812516	-1.33493	-0.00322448	
0.399478	-1.96234	-0.0282469	
0.313998	-1.7422	0.0132681	
0.180284	-1.74281	0.0158559	
0.113054	-1.78166	0.0145809	
0.0798495	-1.83324	0.0149722	
0.0629849	-1.8876	0.00636832	
0.0468101	-1.89205	0.0201698	
0.0536373	-1.9358	0.0199076	
0.0597542	-1.98924	0.0215814	
0.0391392	-1.98878	0.05563	
0.0557418	-2.08072	-0.00718658	
0.0313359	-2.09868	0.0275491	
0.0321379	-2.14203	0.0346377	
0.0241947	-2.19529	0.0344121	
0.673691	-2.03346	0.0283889	
0.579349	-2.15045	-0.0497548	
